row,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,kmeans_cluster,hier_cluster,clarans_cluster
94901,179.0,35000,1055000.0,19.379,30%-<36%,White,Home_Improvement,Principal_Residence,Originated,46.61,6,4,4
58210,95.0,105000,145000.0,75.0,Unknown,Race Not Available,Refinance,Investment,Originated,17.88,1,5,3
8391,366.0,295000,345000.0,85.0,30%-<36%,White,Refinance,Second_Residence,Originated,48.76,3,1,2
27924,89.0,405000,655000.0,62.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,78.54,2,7,5
58372,16.0,95000,95000.0,78.353,>60%,White,Home_Purchase,Principal_Residence,Denied,18.69,3,1,2
11274,150.0,395000,415000.0,95.0,20%-<30%,Asian,Home_Purchase,Principal_Residence,Originated,38.6,2,7,1
32015,124.0,315000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,5.59,2,7,1
12103,328.0,755000,2125000.0,35.3,30%-<36%,White,CashOut_Refinance,Principal_Residence,Originated,48.92,0,6,6
46441,95.0,205000,705000.0,65.44,>60%,White,Refinance,Principal_Residence,Denied,17.34,4,2,0
44606,548.0,105000,315000.0,48.562,<20%,White,Other,Principal_Residence,Denied,68.53,5,4,4
38109,67.0,365000,405000.0,90.0,>60%,White,CashOut_Refinance,Principal_Residence,Denied,26.93,4,2,0
30003,250.0,835000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Withdrawn,18.95,0,6,6
26530,80.0,205000,375000.0,78.353,Unknown,American Indian or Alaska Native,CashOut_Refinance,Principal_Residence,Incomplete,24.55,0,6,6
74069,165.0,115000,475000.0,79.969,20%-<30%,Race Not Available,Home_Improvement,Principal_Residence,Originated,41.87,6,4,4
52149,52.0,25000,165000.0,59.5,50%-60%,White,Other,Principal_Residence,Originated,25.51,4,2,0
78524,0.0,285000,285000.0,98.189,50%-60%,White,Home_Purchase,Principal_Residence,Originated,23.95,4,2,0
2081,155.0,105000,375000.0,78.353,Unknown,Black or African American,Home_Improvement,Principal_Residence,Incomplete,18.42,6,4,4
98284,95.0,45000,195000.0,85.0,30%-<36%,Joint,Home_Improvement,Principal_Residence,Denied,13.24,6,4,4
6716,430.0,1365000,1705000.0,80.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,69.25,5,7,5
81026,58.0,65000,375000.0,78.353,Unknown,Black or African American,Other,Principal_Residence,Withdrawn,99.14,2,7,5
43497,285.0,465000,805000.0,57.625,43%-<50%,Black or African American,Refinance,Investment,Originated,45.63,1,5,3
82184,150.0,645000,805000.0,80.0,43%-<50%,Asian,Home_Purchase,Principal_Residence,Originated,64.31,2,7,5
74091,48.0,115000,145000.0,79.433,<20%,White,CashOut_Refinance,Principal_Residence,Denied,45.68,0,6,6
9316,133.0,635000,975000.0,64.433,43%-<50%,White,Refinance,Principal_Residence,Originated,12.53,0,6,6
19415,54.0,25000,65000.0,32.195,20%-<30%,White,Refinance,Principal_Residence,Originated,31.35,0,6,6
49677,150.0,315000,365000.0,85.0,36%-<43%,Race Not Available,Home_Purchase,Principal_Residence,Originated,13.42,2,7,1
4424,53.0,135000,335000.0,78.353,30%-<36%,White,Home_Purchase,Principal_Residence,Approved_NotAccepted,11.84,2,7,1
99230,69.0,105000,135000.0,75.0,43%-<50%,White,Home_Purchase,Second_Residence,Originated,33.35,2,7,1
74251,30.0,105000,155000.0,71.225,>60%,Race Not Available,CashOut_Refinance,Principal_Residence,Denied,10.59,4,2,0
11773,131.0,375000,375000.0,96.5,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,74.34,2,7,5
45234,65.0,25000,265000.0,9.328,20%-<30%,White,Other,Principal_Residence,Denied,56.06,6,4,4
80772,54.0,25000,25000.0,78.353,20%-<30%,White,Home_Purchase,Principal_Residence,Denied,29.48,3,1,2
60956,95.0,315000,325000.0,97.0,43%-<50%,Black or African American,Home_Purchase,Principal_Residence,Originated,36.2,2,7,1
48022,45.0,75000,375000.0,78.353,Unknown,Joint,CashOut_Refinance,Principal_Residence,Withdrawn,61.49,0,6,6
96461,36.0,145000,165000.0,85.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,46.3,2,7,1
71931,110.0,295000,335000.0,90.0,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,14.53,2,7,1
93352,161.0,645000,805000.0,80.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,16.62,2,7,1
3741,28.0,75000,185000.0,41.48,36%-<43%,Race Not Available,Home_Improvement,Principal_Residence,Originated,9.98,2,6,1
59740,95.0,425000,715000.0,59.0,43%-<50%,Race Not Available,Other,Principal_Residence,Denied,80.28,2,7,5
45736,0.0,265000,375000.0,78.353,Unknown,Asian,Home_Purchase,Investment,Withdrawn,53.55,1,5,3
69168,54.0,155000,375000.0,78.353,Unknown,Race Not Available,Refinance,Principal_Residence,Withdrawn,69.09,0,6,6
72583,201.0,285000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,21.16,0,6,6
58229,95.0,325000,435000.0,75.0,Unknown,Race Not Available,Home_Purchase,Investment,Originated,42.82,3,1,2
96172,93.0,345000,515000.0,67.05,30%-<36%,White,CashOut_Refinance,Principal_Residence,Originated,41.34,0,6,6
43512,279.0,615000,775000.0,79.98,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,85.1,0,6,6
85767,176.0,655000,905000.0,72.22,30%-<36%,White,CashOut_Refinance,Principal_Residence,Denied,0.0,0,7,6
53204,1710.0,105000,955000.0,47.895,<20%,White,Other,Principal_Residence,Denied,23.18,5,3,4
52052,194.0,405000,415000.0,96.5,50%-60%,Black or African American,Home_Purchase,Principal_Residence,Denied,96.29,4,2,0
58202,221.0,255000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,90.02,2,7,5
96589,53.0,235000,535000.0,43.241,30%-<36%,Race Not Available,Home_Purchase,Principal_Residence,Originated,29.62,2,6,1
63483,162.0,395000,425000.0,92.921,<20%,Race Not Available,Home_Purchase,Principal_Residence,Originated,26.29,2,7,1
83060,95.0,345000,395000.0,88.0,36%-<43%,White,Refinance,Principal_Residence,Originated,10.08,0,6,6
95864,128.0,315000,995000.0,43.216,20%-<30%,Asian,Refinance,Principal_Residence,Originated,92.77,0,6,6
89085,130.0,305000,375000.0,78.353,36%-<43%,Black or African American,Home_Improvement,Principal_Residence,Denied,75.43,2,7,5
23508,161.0,205000,1155000.0,69.499,50%-60%,Race Not Available,Other,Principal_Residence,Originated,24.61,4,2,0
49824,107.0,455000,505000.0,90.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,43.36,2,7,1
40205,85.0,175000,185000.0,95.0,36%-<43%,Joint,Home_Purchase,Principal_Residence,Denied,39.81,2,7,5
