kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,_approved,anomaly_votes,iso_score,tract_minority_population_percent
3,52.0,185000,345000.0,55.0,43%-<50%,Race Not Available,Refinance,Principal_Residence,Approved_NotAccepted,,0,0.3774783433009041,31.94
0,74.0,185000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,,0,0.3526325510456832,35.61
3,170.0,645000,2495000.0,26.0,43%-<50%,White,Other,Principal_Residence,Originated,1.0,0,0.5635797359351544,4.85
5,156.0,85000,395000.0,76.07,20%-<30%,White,Other,Principal_Residence,Originated,1.0,0,0.36944865733661525,11.7
5,90.0,5000,375000.0,78.353,Exempt,White,Home_Improvement,Principal_Residence,Originated,1.0,0,0.3787931537140636,8.7
3,137.0,705000,835000.0,84.91,43%-<50%,Black or African American,Refinance,Principal_Residence,Denied,0.0,0,0.4781240725520809,81.23
0,241.0,395000,525000.0,75.0,43%-<50%,Asian,Home_Purchase,Second_Residence,Originated,1.0,0,0.40254705599809604,74.2
0,114.0,225000,315000.0,70.457,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.35585579665196787,22.91
6,14.0,75000,95000.0,80.0,>60%,White,CashOut_Refinance,Principal_Residence,Denied,0.0,0,0.3768735710497068,13.36
2,136.0,195000,235000.0,85.0,30%-<36%,White,Home_Purchase,Investment,Originated,1.0,0,0.36612843942750056,13.47
0,47.0,225000,275000.0,80.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3911889582266302,4.33
0,125.0,345000,435000.0,80.0,<20%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.36146967188937457,29.87
5,148.0,45000,525000.0,62.37,20%-<30%,White,Home_Improvement,Principal_Residence,Originated,1.0,0,0.3746271577024676,27.05
0,98.0,425000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,,0,0.3525070529620965,46.31
5,101.0,185000,375000.0,70.38,43%-<50%,Race Not Available,Refinance,Principal_Residence,Originated,1.0,0,0.34951849540538277,16.84
0,90.0,125000,145000.0,90.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.4230439424731143,48.43
0,154.0,585000,725000.0,80.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3937104993845881,33.67
0,95.0,275000,275000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.35295757752084955,11.44
3,88.0,95000,145000.0,70.0,43%-<50%,Black or African American,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.42529912473691345,62.05
3,87.0,215000,265000.0,81.132,20%-<30%,White,Refinance,Principal_Residence,Originated,1.0,0,0.3721786929009719,6.7
1,455.0,195000,245000.0,80.0,<20%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.41494801733442427,47.49
0,81.0,315000,395000.0,80.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3481119833280246,27.49
5,105.0,45000,335000.0,54.359,36%-<43%,White,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.41371619787293185,6.84
0,77.0,165000,185000.0,92.329,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3732012452412889,6.08
3,200.0,645000,1175000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Purchased,,0,0.4219189979729679,6.28
5,85.0,35000,435000.0,85.184,43%-<50%,Black or African American,Home_Improvement,Principal_Residence,Denied,0.0,0,0.4769640137603799,90.3
0,48.0,145000,175000.0,80.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3816876850052767,3.57
0,95.0,475000,535000.0,78.353,Unknown,Race Not Available,Home_Purchase,Second_Residence,Purchased,,0,0.3606933975027786,21.93
0,95.0,345000,355000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.3613091692059419,8.74
2,95.0,975000,375000.0,78.353,Unknown,White,Home_Purchase,Investment,Withdrawn,,0,0.4126652077552771,34.76
0,112.0,305000,385000.0,80.01,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3567829171084182,12.76
3,137.0,155000,345000.0,43.478,36%-<43%,White,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.41397411984900645,10.59
0,144.0,145000,305000.0,47.267,<20%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.38759428267193063,15.63
3,131.0,35000,1255000.0,42.4,<20%,White,CashOut_Refinance,Principal_Residence,Denied,0.0,1,0.4847212457368612,34.2
2,62.0,85000,105000.0,75.0,30%-<36%,Black or African American,CashOut_Refinance,Investment,Originated,1.0,0,0.38240604534641703,68.84
3,210.0,365000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,,0,0.37199022793507586,14.71
6,122.0,665000,675000.0,96.5,50%-60%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.4124329580789987,20.38
6,64.0,25000,255000.0,80.0,>60%,White,Other,Principal_Residence,Originated,1.0,0,0.43094511434429816,71.76
3,99.0,295000,355000.0,84.571,20%-<30%,Race Not Available,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.3614663410883904,39.45
2,353.0,735000,375000.0,78.353,Exempt,White,Home_Purchase,Investment,Approved_NotAccepted,,0,0.47622574169272236,68.07
3,173.0,205000,285000.0,70.0,<20%,White,CashOut_Refinance,Principal_Residence,Denied,0.0,0,0.363993297696286,28.26
0,96.0,405000,505000.0,80.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3579501753028369,24.25
0,135.0,515000,375000.0,78.353,Unknown,Asian,Home_Purchase,Principal_Residence,Withdrawn,,0,0.36807709355693685,28.62
5,128.0,85000,555000.0,78.18,43%-<50%,Asian,Home_Improvement,Principal_Residence,Denied,0.0,0,0.3814487001935125,22.12
0,97.0,245000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,,0,0.3442282641449493,42.08
5,167.0,45000,645000.0,90.0,36%-<43%,White,Home_Improvement,Principal_Residence,Originated,1.0,0,0.4423576305397141,27.96
0,42.0,215000,265000.0,89.54,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.35687665147268094,34.31
0,95.0,215000,245000.0,78.353,Unknown,Race Not Available,NotApplicable,Principal_Residence,Purchased,,0,0.34600816582866284,19.24
4,33.0,175000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,,0,0.3617966198770797,5.95
0,95.0,245000,255000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.35324044666341564,18.7
3,131.0,495000,905000.0,55.461,36%-<43%,White,Refinance,Principal_Residence,Originated,1.0,0,0.42236067942891947,36.86
0,95.0,325000,335000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.34629855023569933,19.08
0,100.0,5000,375000.0,78.353,Unknown,White,Home_Improvement,Principal_Residence,Withdrawn,,1,0.5214884887899179,15.47
3,134.0,395000,415000.0,95.181,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.4072553372933257,53.54
0,68.0,185000,185000.0,102.3968,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3951644318977639,13.07
3,115.0,175000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Withdrawn,,0,0.3873924089132739,92.82
5,122.0,55000,455000.0,68.528,36%-<43%,White,Home_Improvement,Principal_Residence,Originated,1.0,1,0.4770077249376988,8.65
0,71.0,375000,415000.0,90.0,43%-<50%,Asian,Home_Purchase,Principal_Residence,Originated,1.0,0,0.4087510947053547,60.69
4,62.0,165000,375000.0,78.353,Unknown,White,Refinance,Principal_Residence,Withdrawn,,0,0.42585378957544845,43.45
3,100.0,425000,535000.0,80.0,43%-<50%,Asian,CashOut_Refinance,Principal_Residence,Denied,0.0,0,0.4024955513136846,82.85
3,0.0,35000,495000.0,51.144,<20%,White,Refinance,Principal_Residence,Denied,0.0,0,0.4369269459412463,32.62
6,10.0,105000,555000.0,18.182,>60%,White,CashOut_Refinance,Principal_Residence,Denied,0.0,0,0.4591467696037073,21.93
0,192.0,345000,345000.0,100.0,36%-<43%,Race Not Available,Home_Purchase,Principal_Residence,Originated,1.0,0,0.40877323384080216,29.42
2,95.0,595000,795000.0,78.353,Unknown,Race Not Available,Home_Purchase,Investment,Purchased,,0,0.38361363506332813,11.04
5,142.0,105000,1155000.0,63.65,20%-<30%,White,Refinance,Principal_Residence,Originated,1.0,0,0.44906950419001657,7.88
0,64.0,155000,165000.0,97.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.36492453969901717,25.37
4,97.0,135000,205000.0,78.353,Unknown,White,Refinance,Principal_Residence,Denied,0.0,0,0.3646355179877664,7.43
3,95.0,275000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Incomplete,,0,0.3583064889583331,33.9
0,95.0,215000,215000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.3716737930959288,12.62
2,95.0,935000,1205000.0,77.75,Unknown,Race Not Available,Refinance,Investment,Originated,1.0,2,0.5739299914195268,80.51
0,42.0,165000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Withdrawn,,0,0.36219481999111375,49.24
3,20.0,35000,215000.0,78.353,Unknown,White,Refinance,Principal_Residence,Denied,0.0,0,0.3989705506053571,85.76
6,98.0,325000,365000.0,90.0,50%-60%,Race Not Available,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.36096473581434535,11.06
3,51.0,235000,295000.0,80.0,43%-<50%,Black or African American,CashOut_Refinance,Principal_Residence,Denied,0.0,0,0.3573986848901905,41.55
3,95.0,505000,755000.0,66.313,Unknown,White,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.4001119505909607,45.92
0,77.0,135000,145000.0,97.0,30%-<36%,Black or African American,Home_Purchase,Principal_Residence,Originated,1.0,0,0.36622046460222213,35.38
1,440.0,685000,855000.0,80.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,1.0,1,0.4757247923247725,17.76
0,95.0,485000,705000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.39555650061723424,54.79
