,kmeans_cluster,anomaly_votes,iso_score
270,2,0,0.36594918539013155
271,2,1,0.44424458665956207
272,4,0,0.42773255744393257
273,0,0,0.39670372985370733
274,1,0,0.3932420023286922
275,0,0,0.397598928776582
276,1,0,0.3662709162339971
277,5,1,0.5814638388036858
278,2,0,0.4168502190316379
279,2,0,0.38308070016692614
280,2,0,0.34793879341317685
281,2,0,0.37770465847283724
282,2,0,0.3792563695966456
283,0,0,0.3578659749234977
284,0,0,0.38658070666662914
285,0,0,0.3620690572180906
286,0,0,0.4507789239330219
287,2,0,0.43055745196591544
288,2,0,0.34762096584347907
289,0,1,0.502188106081231
290,0,0,0.35585569860884275
291,0,0,0.4605690372374678
292,2,0,0.38093458608815467
293,0,0,0.4675327247510685
294,2,0,0.3786192091103872
295,2,0,0.39346623011240767
296,2,0,0.381466127178571
297,1,0,0.4336219942748259
298,4,0,0.4108930124808464
299,4,0,0.4487447631218382
300,2,0,0.39032676316441317
301,2,0,0.4074284553130706
302,0,0,0.39487369241013515
303,0,0,0.3662136452326257
304,2,0,0.350401214352954
305,2,0,0.3861819396351859
306,2,0,0.3473742922958061
307,4,0,0.42396050998216794
308,2,0,0.3540966567608474
309,0,0,0.34626911401993804
310,3,0,0.3717305586053533
311,0,0,0.40559894093543525
312,3,0,0.4501634632112143
313,4,0,0.4735435797030357
314,2,0,0.36311727713541675
315,2,0,0.4259698975315675
316,2,0,0.4035551566676888
317,4,0,0.34959509654958854
318,2,0,0.3576013903096357
319,1,0,0.35315633525157464
320,2,0,0.3474522054369631
321,2,1,0.4166791564012055
322,2,0,0.3716060905508543
323,4,0,0.44265277590552504
324,4,0,0.37659258630326087
325,2,0,0.34811266911423094
326,0,0,0.3509426848415355
327,0,0,0.3901191192002162
328,4,0,0.3983738541861853
329,3,0,0.40505866754188735
330,2,0,0.36819422519964884
331,2,0,0.3876732373670306
332,2,0,0.38114644931792097
333,5,0,0.4419528996156562
334,3,0,0.3813477780903446
335,2,0,0.3836839310241395
336,3,0,0.4164948052008775
337,2,0,0.4017293531147661
338,0,0,0.400371108567784
339,3,0,0.41396520017653704
340,5,0,0.473383391958905
341,2,1,0.5177000007848186
342,2,0,0.3810934622080378
343,5,1,0.5813209020881209
344,0,0,0.345399139619304
345,0,0,0.3912679868631827
346,3,0,0.44368824468683643
347,0,0,0.46001773693006126
348,0,0,0.38489017892389016
349,2,1,0.4312595052156918
350,2,0,0.3484755984420502
351,4,0,0.4229552589974281
352,2,1,0.5154267237414825
353,2,0,0.3532390258277689
354,2,0,0.3500424724172557
355,2,0,0.3712967383018018
356,3,0,0.39959344951598025
357,6,0,0.37857379308387257
358,3,0,0.41607892448755407
359,4,0,0.36299364140192586
360,1,0,0.3830782452972391
361,2,0,0.41832716303768885
362,2,0,0.36696135312873635
363,2,0,0.3582400203589393
364,2,0,0.3672861386231421
365,0,0,0.3791864492999206
366,1,0,0.3789228659348956
367,2,0,0.35379811688908136
368,0,0,0.3765882354897332
369,4,1,0.46643953601772786
370,0,0,0.38232477987028257
371,1,0,0.3664894794241141
372,0,0,0.35824203670562343
373,0,0,0.3671742633251371
374,1,0,0.41755564112312066
375,0,0,0.36964437796434046
376,2,0,0.3707635570902855
377,2,0,0.4591647781023189
378,2,0,0.3877798850157883
379,2,0,0.3522587888389721
380,2,0,0.3661645313097618
381,2,0,0.3948223857893337
382,0,0,0.36028404962251026
383,0,0,0.3826183779524252
384,0,0,0.3528561780564143
385,2,0,0.34972917357228356
386,0,1,0.502740457769685
387,0,0,0.3507863760595021
388,1,0,0.4230670831791766
389,4,2,0.4903032239531718
390,0,0,0.4453794810692642
391,6,0,0.4114432472697292
392,2,0,0.3659099641602285
393,2,0,0.4492171101747517
394,0,0,0.3616709140400311
395,1,0,0.3737131488261432
396,2,0,0.35414514704347533
397,0,1,0.537265739612279
398,1,0,0.3861595220087623
399,2,0,0.3876680020562513
400,2,0,0.3817633040003321
401,2,0,0.40174525311439396
402,1,0,0.4054984218347369
403,0,0,0.5157666045861605
404,0,0,0.3747467225214892
405,0,0,0.35774049473685654
406,2,0,0.3743262482741375
407,2,0,0.3560484413539094
408,2,0,0.3966739488646005
409,0,0,0.3745261402444813
410,0,0,0.4149756420031679
411,0,0,0.35032890420870344
412,6,2,0.5785114530892587
413,2,0,0.37166382171433404
414,2,0,0.41083156383625796
415,4,0,0.4010880864973513
416,0,0,0.41047890972469847
417,3,0,0.3791475926170612
418,3,0,0.3792377930403258
419,0,0,0.3632247276870628
420,6,0,0.42605292459040656
421,2,0,0.3877381523617547
422,0,0,0.394509833828383
423,0,0,0.377820681429217
424,2,0,0.47855880540554835
425,6,1,0.5370790407142931
426,1,0,0.4233749422207212
427,1,0,0.3949335495161591
428,2,0,0.35828167663132277
429,0,0,0.403813585548154
430,6,0,0.368838600940405
431,2,0,0.45345228378069274
432,4,0,0.3844742990679063
433,6,1,0.46438645329808037
434,6,0,0.42486780085877196
435,5,0,0.4190789193737239
436,2,0,0.3920151678779192
437,2,0,0.4246629006976538
438,2,0,0.3719241630011252
439,0,0,0.3794389398331301
440,3,0,0.4157718750769538
441,0,0,0.3501004233341321
442,0,0,0.404762792109806
443,0,0,0.4395315874475574
444,4,0,0.36912512651375173
445,2,0,0.34789063957042377
446,0,0,0.386507613159344
447,2,0,0.3887000737866104
448,0,0,0.39738953281283274
449,0,0,0.4029794298101634
450,0,0,0.4553830121457415
451,2,0,0.40760887535012696
452,0,0,0.3643764716541023
453,2,0,0.3570770955661864
454,1,0,0.3657617519853213
455,6,0,0.4910779233456611
456,2,0,0.384902138453697
457,0,0,0.36640481638160965
458,4,0,0.36638931135137187
459,2,0,0.3856313033589714
460,3,0,0.4272245255705542
461,2,0,0.3614630509850855
462,2,0,0.3603874123919468
463,0,0,0.45714055877252346
464,6,0,0.4653418398786474
465,2,0,0.3802596958402803
466,2,0,0.3657991261574749
467,2,0,0.3491819893244218
468,2,0,0.36488090112969723
469,6,0,0.43142043788911666
470,1,0,0.4327050522673735
471,0,0,0.3541127945138552
472,0,0,0.3508702034286746
473,6,0,0.455465453899724
474,0,0,0.3519990633171608
475,2,0,0.381389269685527
476,0,0,0.379061932359747
477,2,0,0.376158081268558
478,0,0,0.4007214902901221
479,6,0,0.44268134134766174
480,2,0,0.36181509242837306
481,0,0,0.3565803320129439
482,6,0,0.3943609665542865
483,0,0,0.3500142292776777
484,0,0,0.3586579787957964
485,2,0,0.3555432192331084
486,4,0,0.3840847929249103
487,0,0,0.36681664385344726
488,5,1,0.451539678515171
489,6,0,0.3747677139031181
490,1,0,0.3799301993254343
491,4,0,0.42399967968506314
492,3,0,0.4144172065327962
493,0,1,0.5879365819148996
494,2,0,0.3744674177663279
495,2,0,0.39081360347996397
496,0,0,0.5250168017651393
497,2,0,0.39182569731833206
498,2,0,0.3623563256583474
499,2,0,0.3670118628592468
500,2,0,0.3704338936207722
501,0,1,0.47152208703567694
502,0,0,0.40057389422002354
503,4,0,0.45641565872126655
504,0,0,0.4232416263561684
505,6,0,0.376141070636212
506,2,0,0.37045958513833993
507,6,0,0.39890222965882277
508,6,0,0.38313015559256935
509,2,0,0.421609960570106
510,4,0,0.39857191631834143
511,0,0,0.4606111671370837
512,2,0,0.39776400967609216
513,4,0,0.3752821673340761
514,4,0,0.41182835717193356
515,5,0,0.38714132861896083
516,5,1,0.5717059749465516
517,1,0,0.3683724018893867
518,6,0,0.4827377158991287
519,2,0,0.3579071959346806
520,2,0,0.3706361974740546
521,3,0,0.3817315095150337
522,2,0,0.3727579681471614
523,2,0,0.430880118480571
524,2,0,0.3683778309287169
525,4,0,0.3658426157078107
526,0,0,0.378030273243219
527,0,0,0.3688148442701672
528,2,0,0.3888618215322341
529,6,0,0.4264957782104651
530,0,0,0.4759750002595523
531,2,0,0.3716908080616795
532,1,0,0.4237585518632106
533,6,0,0.39370946186329997
534,2,0,0.39164144520946764
535,2,0,0.3617364693808312
536,2,0,0.3872810384708263
537,2,0,0.3541153634579764
538,4,0,0.34686129430004514
539,2,1,0.43367927175676924
540,3,0,0.3860793946133828
541,2,0,0.3750184870014045
542,4,0,0.3934441705434527
543,6,0,0.4748009215808172
544,2,1,0.4906822387342481
545,0,1,0.4497171769497781
546,5,0,0.43783870538248504
547,2,0,0.3787228604407355
548,1,0,0.37189029904471943
549,0,0,0.47575532688067984
550,2,0,0.35892638613542444
551,2,0,0.35990868314632163
552,2,0,0.3863455866806747
553,2,0,0.38369246564010034
554,2,0,0.35533573075696373
555,5,0,0.4317875482028277
556,2,0,0.3844210495383073
557,0,0,0.3678719927547315
558,2,0,0.3706416607956299
559,5,1,0.581210495192964
560,2,0,0.38366256876833943
561,3,0,0.40944423614639414
562,2,0,0.363226873555788
563,0,0,0.3866198633249426
564,6,1,0.5057412769061055
565,2,0,0.34793592385327243
566,4,0,0.4248681600224591
567,2,0,0.3650593351801936
568,2,0,0.4241611587833631
569,0,0,0.35567164799402406
570,0,0,0.42015981380476025
571,5,1,0.543863839677255
572,1,3,0.7477803368892982
573,4,0,0.4052624973417427
574,0,0,0.3478261327065943
575,2,0,0.3899364293029402
576,2,0,0.3734480297806323
577,2,0,0.3793167532908544
578,2,0,0.41931491457732684
579,0,0,0.4203041039923959
580,2,0,0.36326846759794706
581,6,0,0.4475370503039737
582,2,0,0.3862896851598037
583,1,0,0.46896762354740756
584,2,0,0.40261618568607727
585,2,0,0.3443013684965927
586,2,0,0.37671795647617107
587,2,0,0.36869883244531726
588,3,0,0.35752563897506756
589,2,0,0.3789500441293428
590,0,0,0.38966168381830046
591,6,1,0.48286779128251284
592,4,0,0.3660477863725149
593,2,0,0.4064370935869963
594,0,0,0.37677371693331396
595,2,0,0.41880442658408606
596,2,0,0.38721731545838584
597,2,0,0.41919660212804305
598,5,0,0.39524657184292483
599,4,0,0.44273490569746576
600,2,0,0.35060988599743925
601,3,0,0.36853854234988914
602,2,0,0.35266413927336715
603,4,0,0.4202013059964191
604,2,0,0.35356977636501824
605,0,0,0.4557380745735452
606,3,0,0.38642200582494024
607,6,0,0.3830232558776487
608,0,0,0.37183438116022083
609,4,0,0.4563375279611992
610,2,0,0.36275693928434954
611,6,0,0.3926906075255395
612,2,0,0.42986992502886756
613,2,0,0.4368705487048424
614,6,0,0.41976445329372514
615,1,0,0.3679433969657429
616,2,0,0.37567853867587797
617,5,0,0.4914801666602811
618,6,0,0.45687142952126536
619,0,0,0.4460300462084742
620,0,0,0.36166508374703354
621,0,0,0.4905889747259511
622,2,0,0.3733365720826015
623,1,0,0.47733379584351754
624,6,0,0.4093456041895813
625,2,0,0.3596406750950992
626,4,0,0.4107891756835106
