row,kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,clarans_cluster
82070,6,49.0,45000,345000.0,70.473,>60%,White,Other,Principal_Residence,Denied,57.49,0
61576,3,42.0,165000,285000.0,56.14,43%-<50%,White,Refinance,Principal_Residence,Denied,31.53,6
44556,0,153.0,385000,385000.0,100.0,36%-<43%,Black or African American,Home_Purchase,Principal_Residence,Originated,88.85,5
26019,3,50.0,25000,375000.0,78.353,Unknown,Race Not Available,Refinance,Principal_Residence,Incomplete,77.18,6
69569,2,95.0,145000,455000.0,78.353,Unknown,Race Not Available,Home_Purchase,Investment,Purchased,24.67,3
64980,0,122.0,405000,425000.0,97.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,90.35,5
51400,3,85.0,55000,375000.0,78.353,Unknown,White,Refinance,Principal_Residence,Withdrawn,9.94,6
56778,3,95.0,505000,855000.0,58.824,43%-<50%,Asian,CashOut_Refinance,Principal_Residence,Denied,72.86,6
21196,1,745.0,135000,555000.0,79.98,<20%,White,CashOut_Refinance,Principal_Residence,Denied,54.58,4
92140,1,302.0,485000,605000.0,80.0,20%-<30%,Asian,Other,Principal_Residence,Originated,20.95,1
23753,0,90.0,315000,325000.0,96.5,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,52.58,5
30868,1,483.0,1465000,1725000.0,85.0,30%-<36%,Asian,Home_Purchase,Principal_Residence,Originated,35.75,1
9758,0,95.0,265000,275000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,43.34,1
56940,5,57.0,25000,215000.0,83.0,36%-<43%,White,CashOut_Refinance,Principal_Residence,Originated,31.22,4
26163,5,343.0,115000,575000.0,41.739,<20%,White,Refinance,Principal_Residence,Originated,8.59,4
77436,0,95.0,325000,345000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,30.03,1
83012,0,55.0,35000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,25.63,1
67125,5,84.0,25000,355000.0,53.138,30%-<36%,White,Refinance,Principal_Residence,Originated,18.64,4
34994,5,108.0,25000,305000.0,69.0,30%-<36%,Black or African American,Home_Improvement,Principal_Residence,Denied,19.82,4
